x_m,y_m,bldg_id,height_m,plan_area_frac,W_road_m,W_roof_m,roof_mat_id,wall_mat_id,road_mat_id,orientation_deg,ah_profile_id,AH_Wm2,is_urban
125.0,125.0,1,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
375.0,125.0,2,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
625.0,125.0,3,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
875.0,125.0,4,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
1125.0,125.0,5,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
1375.0,125.0,6,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
1625.0,125.0,7,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
1875.0,125.0,8,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
2125.0,125.0,9,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
2375.0,125.0,10,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
2625.0,125.0,11,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
2875.0,125.0,12,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
3125.0,125.0,13,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
3375.0,125.0,14,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
3625.0,125.0,15,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
3875.0,125.0,16,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
4125.0,125.0,17,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
4375.0,125.0,18,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
4625.0,125.0,19,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
4875.0,125.0,20,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
5125.0,125.0,21,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
5375.0,125.0,22,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
5625.0,125.0,23,0.0,0.00,0.0,0.0,5,5,5,0.0,0,30.0,0
5875.0,125.0,24,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
