occupancy_profile_id,hour_of_day,occupancy_fraction
0,0,0.3
0,1,0.3
0,2,0.3
0,3,0.3
0,4,0.3
0,5,0.3
0,6,0.4
0,7,0.6
0,8,0.8
0,9,0.9
0,10,0.95
0,11,0.95
0,12,0.95
0,13,0.95
0,14,0.95
0,15,0.95
0,16,0.95
0,17,0.9
0,18,0.8
0,19,0.6
0,20,0.5
0,21,0.4
0,22,0.3
0,23,0.3
1,0,0.05
1,1,0.05
1,2,0.05
1,3,0.05
1,4,0.05
1,5,0.05
1,6,0.1
1,7,0.3
1,8,0.9
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
1,16,1.0
1,17,0.8
1,18,0.2
1,19,0.05
1,20,0.05
1,21,0.05
1,22,0.05
1,23,0.05
2,0,0.2
2,1,0.2
2,2,0.2
2,3,0.2
2,4,0.2
2,5,0.2
2,6,0.3
2,7,0.5
2,8,0.8
2,9,0.9
2,10,0.95
2,11,0.95
2,12,0.95
2,13,0.95
2,14,0.95
2,15,0.95
2,16,0.95
2,17,0.95
2,18,0.9
2,19,0.7
2,20,0.5
2,21,0.3
2,22,0.2
2,23,0.2
