x_m,y_m,bldg_id,height_m,plan_area_frac,W_road_m,W_roof_m,roof_mat_id,wall_mat_id,road_mat_id,orientation_deg,ah_profile_id,AH_Wm2,is_urban
125.0,125.0,1,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
375.0,125.0,2,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
625.0,125.0,3,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
875.0,125.0,4,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
1125.0,125.0,5,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
1375.0,125.0,6,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
1625.0,125.0,7,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
1875.0,125.0,8,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
2125.0,125.0,9,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
2375.0,125.0,10,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
2625.0,125.0,11,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
2875.0,125.0,12,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
3125.0,125.0,13,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
3375.0,125.0,14,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
3625.0,125.0,15,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
3875.0,125.0,16,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
4125.0,125.0,17,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
4375.0,125.0,18,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
4625.0,125.0,19,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
4875.0,125.0,20,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
5125.0,125.0,21,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
5375.0,125.0,22,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
5625.0,125.0,23,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
5875.0,125.0,24,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
6125.0,125.0,25,15.0,0.05,10.0,10.0,2,2,2,0.0,0,30.0,1
