i_ucm,j_ucm,height_m,plan_area_frac,is_urban
0,0,30.0,0.6,1
0,1,30.0,0.6,1
0,2,30.0,0.6,1
0,3,30.0,0.6,1
0,4,30.0,0.6,1
0,5,30.0,0.6,1
0,6,30.0,0.6,1
0,7,30.0,0.6,1
0,8,30.0,0.6,1
0,9,30.0,0.6,1
0,10,30.0,0.6,1
0,11,30.0,0.6,1
0,12,30.0,0.6,1
0,13,30.0,0.6,1
0,14,30.0,0.6,1
0,15,30.0,0.6,1
1,0,30.0,0.6,1
1,1,30.0,0.6,1
1,2,30.0,0.6,1
1,3,30.0,0.6,1
1,4,30.0,0.6,1
1,5,30.0,0.6,1
1,6,30.0,0.6,1
1,7,30.0,0.6,1
1,8,30.0,0.6,1
1,9,30.0,0.6,1
1,10,30.0,0.6,1
1,11,30.0,0.6,1
1,12,30.0,0.6,1
1,13,30.0,0.6,1
1,14,30.0,0.6,1
1,15,30.0,0.6,1
2,0,30.0,0.6,1
2,1,30.0,0.6,1
2,2,30.0,0.6,1
2,3,30.0,0.6,1
2,4,30.0,0.6,1
2,5,30.0,0.6,1
2,6,30.0,0.6,1
2,7,30.0,0.6,1
2,8,30.0,0.6,1
2,9,30.0,0.6,1
2,10,30.0,0.6,1
2,11,30.0,0.6,1
2,12,30.0,0.6,1
2,13,30.0,0.6,1
2,14,30.0,0.6,1
2,15,30.0,0.6,1
3,0,30.0,0.6,1
3,1,30.0,0.6,1
3,2,30.0,0.6,1
3,3,30.0,0.6,1
3,4,30.0,0.6,1
3,5,30.0,0.6,1
3,6,30.0,0.6,1
3,7,30.0,0.6,1
3,8,30.0,0.6,1
3,9,30.0,0.6,1
3,10,30.0,0.6,1
3,11,30.0,0.6,1
3,12,30.0,0.6,1
3,13,30.0,0.6,1
3,14,30.0,0.6,1
3,15,30.0,0.6,1
4,0,30.0,0.6,1
4,1,30.0,0.6,1
4,2,30.0,0.6,1
4,3,30.0,0.6,1
4,4,30.0,0.6,1
4,5,30.0,0.6,1
4,6,30.0,0.6,1
4,7,30.0,0.6,1
4,8,30.0,0.6,1
4,9,30.0,0.6,1
4,10,30.0,0.6,1
4,11,30.0,0.6,1
4,12,30.0,0.6,1
4,13,30.0,0.6,1
4,14,30.0,0.6,1
4,15,30.0,0.6,1
5,0,30.0,0.6,1
5,1,30.0,0.6,1
5,2,30.0,0.6,1
5,3,30.0,0.6,1
5,4,30.0,0.6,1
5,5,30.0,0.6,1
