i,j,height_m,W_road_m,W_roof_m,is_urban,roof_mat_id,wall_mat_id,road_mat_id
0,0,15.0,10.0,10.0,1,1,1,1
0,1,15.0,10.0,10.0,1,2,2,2
0,2,15.0,10.0,10.0,1,1,1,1
0,3,15.0,10.0,10.0,1,2,2,2
0,4,15.0,10.0,10.0,1,1,1,1
0,5,15.0,10.0,10.0,1,2,2,2
0,6,15.0,10.0,10.0,1,1,1,1
0,7,15.0,10.0,10.0,1,2,2,2
0,8,15.0,10.0,10.0,1,1,1,1
0,9,15.0,10.0,10.0,1,2,2,2
0,10,15.0,10.0,10.0,1,1,1,1
0,11,15.0,10.0,10.0,1,2,2,2
0,12,15.0,10.0,10.0,1,1,1,1
0,13,15.0,10.0,10.0,1,2,2,2
0,14,15.0,10.0,10.0,1,1,1,1
0,15,15.0,10.0,10.0,1,2,2,2
1,0,15.0,10.0,10.0,1,2,2,2
1,1,15.0,10.0,10.0,1,1,1,1
1,2,15.0,10.0,10.0,1,2,2,2
1,3,15.0,10.0,10.0,1,1,1,1
1,4,15.0,10.0,10.0,1,2,2,2
1,5,15.0,10.0,10.0,1,1,1,1
1,6,15.0,10.0,10.0,1,2,2,2
1,7,15.0,10.0,10.0,1,1,1,1
1,8,15.0,10.0,10.0,1,2,2,2
1,9,15.0,10.0,10.0,1,1,1,1
1,10,15.0,10.0,10.0,1,2,2,2
1,11,15.0,10.0,10.0,1,1,1,1
1,12,15.0,10.0,10.0,1,2,2,2
1,13,15.0,10.0,10.0,1,1,1,1
1,14,15.0,10.0,10.0,1,2,2,2
1,15,15.0,10.0,10.0,1,1,1,1
2,0,15.0,10.0,10.0,1,1,1,1
2,1,15.0,10.0,10.0,1,2,2,2
2,2,15.0,10.0,10.0,1,1,1,1
2,3,15.0,10.0,10.0,1,2,2,2
2,4,15.0,10.0,10.0,1,1,1,1
2,5,15.0,10.0,10.0,1,2,2,2
2,6,15.0,10.0,10.0,1,1,1,1
2,7,15.0,10.0,10.0,1,2,2,2
2,8,15.0,10.0,10.0,1,1,1,1
2,9,15.0,10.0,10.0,1,2,2,2
2,10,15.0,10.0,10.0,1,1,1,1
2,11,15.0,10.0,10.0,1,2,2,2
2,12,15.0,10.0,10.0,1,1,1,1
2,13,15.0,10.0,10.0,1,2,2,2
2,14,15.0,10.0,10.0,1,1,1,1
2,15,15.0,10.0,10.0,1,2,2,2
3,0,15.0,10.0,10.0,1,2,2,2
3,1,15.0,10.0,10.0,1,1,1,1
3,2,15.0,10.0,10.0,1,2,2,2
3,3,15.0,10.0,10.0,1,1,1,1
3,4,15.0,10.0,10.0,1,2,2,2
3,5,15.0,10.0,10.0,1,1,1,1
3,6,15.0,10.0,10.0,1,2,2,2
3,7,15.0,10.0,10.0,1,1,1,1
3,8,15.0,10.0,10.0,1,2,2,2
3,9,15.0,10.0,10.0,1,1,1,1
3,10,15.0,10.0,10.0,1,2,2,2
3,11,15.0,10.0,10.0,1,1,1,1
3,12,15.0,10.0,10.0,1,2,2,2
3,13,15.0,10.0,10.0,1,1,1,1
3,14,15.0,10.0,10.0,1,2,2,2
3,15,15.0,10.0,10.0,1,1,1,1
4,0,15.0,10.0,10.0,1,1,1,1
4,1,15.0,10.0,10.0,1,2,2,2
4,2,15.0,10.0,10.0,1,1,1,1
4,3,15.0,10.0,10.0,1,2,2,2
4,4,15.0,10.0,10.0,1,1,1,1
4,5,15.0,10.0,10.0,1,2,2,2
4,6,15.0,10.0,10.0,1,1,1,1
4,7,15.0,10.0,10.0,1,2,2,2
4,8,15.0,10.0,10.0,1,1,1,1
4,9,15.0,10.0,10.0,1,2,2,2
4,10,15.0,10.0,10.0,1,1,1,1
4,11,15.0,10.0,10.0,1,2,2,2
4,12,15.0,10.0,10.0,1,1,1,1
4,13,15.0,10.0,10.0,1,2,2,2
4,14,15.0,10.0,10.0,1,1,1,1
4,15,15.0,10.0,10.0,1,2,2,2
5,0,15.0,10.0,10.0,1,2,2,2
5,1,15.0,10.0,10.0,1,1,1,1
5,2,15.0,10.0,10.0,1,2,2,2
5,3,15.0,10.0,10.0,1,1,1,1
5,4,15.0,10.0,10.0,1,2,2,2
5,5,15.0,10.0,10.0,1,1,1,1
5,6,15.0,10.0,10.0,1,2,2,2
5,7,15.0,10.0,10.0,1,1,1,1
5,8,15.0,10.0,10.0,1,2,2,2
5,9,15.0,10.0,10.0,1,1,1,1
5,10,15.0,10.0,10.0,1,2,2,2
5,11,15.0,10.0,10.0,1,1,1,1
5,12,15.0,10.0,10.0,1,2,2,2
5,13,15.0,10.0,10.0,1,1,1,1
5,14,15.0,10.0,10.0,1,2,2,2
5,15,15.0,10.0,10.0,1,1,1,1
6,0,15.0,10.0,10.0,1,1,1,1
6,1,15.0,10.0,10.0,1,2,2,2
6,2,15.0,10.0,10.0,1,1,1,1
6,3,15.0,10.0,10.0,1,2,2,2
6,4,15.0,10.0,10.0,1,1,1,1
6,5,15.0,10.0,10.0,1,2,2,2
6,6,15.0,10.0,10.0,1,1,1,1
6,7,15.0,10.0,10.0,1,2,2,2
6,8,15.0,10.0,10.0,1,1,1,1
6,9,15.0,10.0,10.0,1,2,2,2
6,10,15.0,10.0,10.0,1,1,1,1
6,11,15.0,10.0,10.0,1,2,2,2
6,12,15.0,10.0,10.0,1,1,1,1
6,13,15.0,10.0,10.0,1,2,2,2
6,14,15.0,10.0,10.0,1,1,1,1
6,15,15.0,10.0,10.0,1,2,2,2
7,0,15.0,10.0,10.0,1,2,2,2
7,1,15.0,10.0,10.0,1,1,1,1
7,2,15.0,10.0,10.0,1,2,2,2
7,3,15.0,10.0,10.0,1,1,1,1
7,4,15.0,10.0,10.0,1,2,2,2
7,5,15.0,10.0,10.0,1,1,1,1
7,6,15.0,10.0,10.0,1,2,2,2
7,7,15.0,10.0,10.0,1,1,1,1
7,8,15.0,10.0,10.0,1,2,2,2
7,9,15.0,10.0,10.0,1,1,1,1
7,10,15.0,10.0,10.0,1,2,2,2
7,11,15.0,10.0,10.0,1,1,1,1
7,12,15.0,10.0,10.0,1,2,2,2
7,13,15.0,10.0,10.0,1,1,1,1
7,14,15.0,10.0,10.0,1,2,2,2
7,15,15.0,10.0,10.0,1,1,1,1
8,0,15.0,10.0,10.0,1,1,1,1
8,1,15.0,10.0,10.0,1,2,2,2
8,2,15.0,10.0,10.0,1,1,1,1
8,3,15.0,10.0,10.0,1,2,2,2
8,4,15.0,10.0,10.0,1,1,1,1
8,5,15.0,10.0,10.0,1,2,2,2
8,6,15.0,10.0,10.0,1,1,1,1
8,7,15.0,10.0,10.0,1,2,2,2
8,8,15.0,10.0,10.0,1,1,1,1
8,9,15.0,10.0,10.0,1,2,2,2
8,10,15.0,10.0,10.0,1,1,1,1
8,11,15.0,10.0,10.0,1,2,2,2
8,12,15.0,10.0,10.0,1,1,1,1
8,13,15.0,10.0,10.0,1,2,2,2
8,14,15.0,10.0,10.0,1,1,1,1
8,15,15.0,10.0,10.0,1,2,2,2
9,0,15.0,10.0,10.0,1,2,2,2
9,1,15.0,10.0,10.0,1,1,1,1
9,2,15.0,10.0,10.0,1,2,2,2
9,3,15.0,10.0,10.0,1,1,1,1
9,4,15.0,10.0,10.0,1,2,2,2
9,5,15.0,10.0,10.0,1,1,1,1
9,6,15.0,10.0,10.0,1,2,2,2
9,7,15.0,10.0,10.0,1,1,1,1
9,8,15.0,10.0,10.0,1,2,2,2
9,9,15.0,10.0,10.0,1,1,1,1
9,10,15.0,10.0,10.0,1,2,2,2
9,11,15.0,10.0,10.0,1,1,1,1
9,12,15.0,10.0,10.0,1,2,2,2
9,13,15.0,10.0,10.0,1,1,1,1
