i,j,height_m,W_road_m,W_roof_m,is_urban,roof_mat_id,wall_mat_id,road_mat_id
0,0,5.0,10.0,10.0,1,1,1,1
0,1,5.0,10.0,10.0,1,1,1,1
0,2,5.0,10.0,10.0,1,1,1,1
0,3,5.0,10.0,10.0,1,1,1,1
0,4,5.0,10.0,10.0,1,1,1,1
0,5,5.0,10.0,10.0,1,1,1,1
0,6,5.0,10.0,10.0,1,1,1,1
0,7,5.0,10.0,10.0,1,1,1,1
0,8,25.0,10.0,10.0,1,2,2,2
0,9,25.0,10.0,10.0,1,2,2,2
0,10,25.0,10.0,10.0,1,2,2,2
0,11,25.0,10.0,10.0,1,2,2,2
0,12,25.0,10.0,10.0,1,2,2,2
0,13,25.0,10.0,10.0,1,2,2,2
0,14,25.0,10.0,10.0,1,2,2,2
0,15,25.0,10.0,10.0,1,2,2,2
1,0,5.0,10.0,10.0,1,1,1,1
1,1,5.0,10.0,10.0,1,1,1,1
1,2,5.0,10.0,10.0,1,1,1,1
1,3,5.0,10.0,10.0,1,1,1,1
1,4,5.0,10.0,10.0,1,1,1,1
1,5,5.0,10.0,10.0,1,1,1,1
1,6,5.0,10.0,10.0,1,1,1,1
1,7,5.0,10.0,10.0,1,1,1,1
1,8,25.0,10.0,10.0,1,2,2,2
1,9,25.0,10.0,10.0,1,2,2,2
1,10,25.0,10.0,10.0,1,2,2,2
1,11,25.0,10.0,10.0,1,2,2,2
1,12,25.0,10.0,10.0,1,2,2,2
1,13,25.0,10.0,10.0,1,2,2,2
1,14,25.0,10.0,10.0,1,2,2,2
1,15,25.0,10.0,10.0,1,2,2,2
2,0,5.0,10.0,10.0,1,1,1,1
2,1,5.0,10.0,10.0,1,1,1,1
2,2,5.0,10.0,10.0,1,1,1,1
2,3,5.0,10.0,10.0,1,1,1,1
2,4,5.0,10.0,10.0,1,1,1,1
2,5,5.0,10.0,10.0,1,1,1,1
2,6,5.0,10.0,10.0,1,1,1,1
2,7,5.0,10.0,10.0,1,1,1,1
2,8,25.0,10.0,10.0,1,2,2,2
2,9,25.0,10.0,10.0,1,2,2,2
2,10,25.0,10.0,10.0,1,2,2,2
2,11,25.0,10.0,10.0,1,2,2,2
2,12,25.0,10.0,10.0,1,2,2,2
2,13,25.0,10.0,10.0,1,2,2,2
