i,j,bldg_id,height_m,plan_area_frac,W_road_m,W_roof_m,roof_mat_id,wall_mat_id,road_mat_id,orientation_deg,ah_profile_id,is_urban
0,0,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,1,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,2,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,3,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,4,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,5,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,6,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
0,7,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,0,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,1,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,2,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,3,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,4,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,5,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,6,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
1,7,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,0,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,1,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,2,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,3,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,4,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,5,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,6,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
2,7,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,0,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,1,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,2,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,3,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,4,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,5,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,6,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
3,7,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,0,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,1,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,2,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,3,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,4,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,5,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,6,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
4,7,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,0,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,1,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,2,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,3,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,4,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,5,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,6,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
5,7,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,0,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,1,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,2,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,3,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,4,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,5,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,6,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
6,7,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,0,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,1,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,2,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,3,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,4,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,5,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,6,1,15.0,0.5,10.0,10.0,1,1,1,0.0,0,1
7,7,1,10.0,0.5,10.0,10.0,1,1,1,0.0,0,1
