x_m,y_m,tree_id,H_tree_m,H_crown_base_m,LAD_bulk,crown_area_frac,Cd_leaf,is_tree
12.5,12.5,1,15.0,3.0,0.5,0.7,0.2,1
12.5,37.5,2,15.0,3.0,0.5,0.7,0.2,1
12.5,62.5,3,15.0,3.0,0.5,0.7,0.2,1
12.5,87.5,4,15.0,3.0,0.5,0.7,0.2,1
12.5,112.5,5,15.0,3.0,0.5,0.7,0.2,1
12.5,137.5,6,15.0,3.0,0.5,0.7,0.2,1
12.5,162.5,7,15.0,3.0,0.5,0.7,0.2,1
12.5,187.5,8,15.0,3.0,0.5,0.7,0.2,1
12.5,212.5,9,15.0,3.0,0.5,0.7,0.2,1
12.5,237.5,10,15.0,3.0,0.5,0.7,0.2,1
12.5,262.5,11,15.0,3.0,0.5,0.7,0.2,1
12.5,287.5,12,15.0,3.0,0.5,0.7,0.2,1
12.5,312.5,13,15.0,3.0,0.5,0.7,0.2,1
12.5,337.5,14,15.0,3.0,0.5,0.7,0.2,1
12.5,362.5,15,15.0,3.0,0.5,0.7,0.2,1
12.5,387.5,16,15.0,3.0,0.5,0.7,0.2,1
37.5,12.5,17,15.0,3.0,0.5,0.7,0.2,1
37.5,37.5,18,15.0,3.0,0.5,0.7,0.2,1
37.5,62.5,19,15.0,3.0,0.5,0.7,0.2,1
37.5,87.5,20,15.0,3.0,0.5,0.7,0.2,1
37.5,112.5,21,15.0,3.0,0.5,0.7,0.2,1
37.5,137.5,22,15.0,3.0,0.5,0.7,0.2,1
37.5,162.5,23,15.0,3.0,0.5,0.7,0.2,1
37.5,187.5,24,15.0,3.0,0.5,0.7,0.2,1
37.5,212.5,25,15.0,3.0,0.5,0.7,0.2,1
37.5,237.5,26,15.0,3.0,0.5,0.7,0.2,1
37.5,262.5,27,15.0,3.0,0.5,0.7,0.2,1
37.5,287.5,28,15.0,3.0,0.5,0.7,0.2,1
37.5,312.5,29,15.0,3.0,0.5,0.7,0.2,1
37.5,337.5,30,15.0,3.0,0.5,0.7,0.2,1
37.5,362.5,31,15.0,3.0,0.5,0.7,0.2,1
37.5,387.5,32,15.0,3.0,0.5,0.7,0.2,1
62.5,12.5,33,15.0,3.0,0.5,0.7,0.2,1
62.5,37.5,34,15.0,3.0,0.5,0.7,0.2,1
62.5,62.5,35,15.0,3.0,0.5,0.7,0.2,1
62.5,87.5,36,15.0,3.0,0.5,0.7,0.2,1
62.5,112.5,37,15.0,3.0,0.5,0.7,0.2,1
62.5,137.5,38,15.0,3.0,0.5,0.7,0.2,1
62.5,162.5,39,15.0,3.0,0.5,0.7,0.2,1
62.5,187.5,40,15.0,3.0,0.5,0.7,0.2,1
62.5,212.5,41,15.0,3.0,0.5,0.7,0.2,1
62.5,237.5,42,15.0,3.0,0.5,0.7,0.2,1
62.5,262.5,43,15.0,3.0,0.5,0.7,0.2,1
62.5,287.5,44,15.0,3.0,0.5,0.7,0.2,1
62.5,312.5,45,15.0,3.0,0.5,0.7,0.2,1
62.5,337.5,46,15.0,3.0,0.5,0.7,0.2,1
62.5,362.5,47,15.0,3.0,0.5,0.7,0.2,1
62.5,387.5,48,15.0,3.0,0.5,0.7,0.2,1
87.5,12.5,49,15.0,3.0,0.5,0.7,0.2,1
87.5,37.5,50,15.0,3.0,0.5,0.7,0.2,1
87.5,62.5,51,15.0,3.0,0.5,0.7,0.2,1
87.5,87.5,52,15.0,3.0,0.5,0.7,0.2,1
87.5,112.5,53,15.0,3.0,0.5,0.7,0.2,1
87.5,137.5,54,15.0,3.0,0.5,0.7,0.2,1
87.5,162.5,55,15.0,3.0,0.5,0.7,0.2,1
87.5,187.5,56,15.0,3.0,0.5,0.7,0.2,1
87.5,212.5,57,15.0,3.0,0.5,0.7,0.2,1
87.5,237.5,58,15.0,3.0,0.5,0.7,0.2,1
87.5,262.5,59,15.0,3.0,0.5,0.7,0.2,1
87.5,287.5,60,15.0,3.0,0.5,0.7,0.2,1
87.5,312.5,61,15.0,3.0,0.5,0.7,0.2,1
87.5,337.5,62,15.0,3.0,0.5,0.7,0.2,1
87.5,362.5,63,15.0,3.0,0.5,0.7,0.2,1
87.5,387.5,64,15.0,3.0,0.5,0.7,0.2,1
112.5,12.5,65,15.0,3.0,0.5,0.7,0.2,1
112.5,37.5,66,15.0,3.0,0.5,0.7,0.2,1
112.5,62.5,67,15.0,3.0,0.5,0.7,0.2,1
112.5,87.5,68,15.0,3.0,0.5,0.7,0.2,1
112.5,112.5,69,15.0,3.0,0.5,0.7,0.2,1
112.5,137.5,70,15.0,3.0,0.5,0.7,0.2,1
112.5,162.5,71,15.0,3.0,0.5,0.7,0.2,1
112.5,187.5,72,15.0,3.0,0.5,0.7,0.2,1
112.5,212.5,73,15.0,3.0,0.5,0.7,0.2,1
112.5,237.5,74,15.0,3.0,0.5,0.7,0.2,1
112.5,262.5,75,15.0,3.0,0.5,0.7,0.2,1
112.5,287.5,76,15.0,3.0,0.5,0.7,0.2,1
112.5,312.5,77,15.0,3.0,0.5,0.7,0.2,1
112.5,337.5,78,15.0,3.0,0.5,0.7,0.2,1
112.5,362.5,79,15.0,3.0,0.5,0.7,0.2,1
112.5,387.5,80,15.0,3.0,0.5,0.7,0.2,1
137.5,12.5,81,15.0,3.0,0.5,0.7,0.2,1
137.5,37.5,82,15.0,3.0,0.5,0.7,0.2,1
137.5,62.5,83,15.0,3.0,0.5,0.7,0.2,1
137.5,87.5,84,15.0,3.0,0.5,0.7,0.2,1
137.5,112.5,85,15.0,3.0,0.5,0.7,0.2,1
137.5,137.5,86,15.0,3.0,0.5,0.7,0.2,1
137.5,162.5,87,15.0,3.0,0.5,0.7,0.2,1
137.5,187.5,88,15.0,3.0,0.5,0.7,0.2,1
137.5,212.5,89,15.0,3.0,0.5,0.7,0.2,1
137.5,237.5,90,15.0,3.0,0.5,0.7,0.2,1
137.5,262.5,91,15.0,3.0,0.5,0.7,0.2,1
137.5,287.5,92,15.0,3.0,0.5,0.7,0.2,1
137.5,312.5,93,15.0,3.0,0.5,0.7,0.2,1
137.5,337.5,94,15.0,3.0,0.5,0.7,0.2,1
137.5,362.5,95,15.0,3.0,0.5,0.7,0.2,1
137.5,387.5,96,15.0,3.0,0.5,0.7,0.2,1
162.5,12.5,97,15.0,3.0,0.5,0.7,0.2,1
162.5,37.5,98,15.0,3.0,0.5,0.7,0.2,1
162.5,62.5,99,15.0,3.0,0.5,0.7,0.2,1
162.5,87.5,100,15.0,3.0,0.5,0.7,0.2,1
162.5,112.5,101,15.0,3.0,0.5,0.7,0.2,1
162.5,137.5,102,15.0,3.0,0.5,0.7,0.2,1
162.5,162.5,103,15.0,3.0,0.5,0.7,0.2,1
162.5,187.5,104,15.0,3.0,0.5,0.7,0.2,1
162.5,212.5,105,15.0,3.0,0.5,0.7,0.2,1
162.5,237.5,106,15.0,3.0,0.5,0.7,0.2,1
162.5,262.5,107,15.0,3.0,0.5,0.7,0.2,1
162.5,287.5,108,15.0,3.0,0.5,0.7,0.2,1
162.5,312.5,109,15.0,3.0,0.5,0.7,0.2,1
162.5,337.5,110,15.0,3.0,0.5,0.7,0.2,1
162.5,362.5,111,15.0,3.0,0.5,0.7,0.2,1
162.5,387.5,112,15.0,3.0,0.5,0.7,0.2,1
187.5,12.5,113,15.0,3.0,0.5,0.7,0.2,1
187.5,37.5,114,15.0,3.0,0.5,0.7,0.2,1
187.5,62.5,115,15.0,3.0,0.5,0.7,0.2,1
187.5,87.5,116,15.0,3.0,0.5,0.7,0.2,1
187.5,112.5,117,15.0,3.0,0.5,0.7,0.2,1
187.5,137.5,118,15.0,3.0,0.5,0.7,0.2,1
187.5,162.5,119,15.0,3.0,0.5,0.7,0.2,1
187.5,187.5,120,15.0,3.0,0.5,0.7,0.2,1
187.5,212.5,121,15.0,3.0,0.5,0.7,0.2,1
187.5,237.5,122,15.0,3.0,0.5,0.7,0.2,1
187.5,262.5,123,15.0,3.0,0.5,0.7,0.2,1
187.5,287.5,124,15.0,3.0,0.5,0.7,0.2,1
187.5,312.5,125,15.0,3.0,0.5,0.7,0.2,1
187.5,337.5,126,15.0,3.0,0.5,0.7,0.2,1
187.5,362.5,127,15.0,3.0,0.5,0.7,0.2,1
187.5,387.5,128,15.0,3.0,0.5,0.7,0.2,1
