x_m,y_m,tree_id,H_tree_m,H_crown_base_m,LAD_bulk,crown_area_frac,Cd_leaf,is_tree
12.5,12.5,1,40,20,2.0,0.7,0.2,1
12.5,37.5,2,40,20,2.0,0.7,0.2,1
12.5,62.5,3,40,20,2.0,0.7,0.2,1
12.5,87.5,4,40,20,2.0,0.7,0.2,1
12.5,112.5,5,40,20,2.0,0.7,0.2,1
12.5,137.5,6,40,20,2.0,0.7,0.2,1
12.5,162.5,7,40,20,2.0,0.7,0.2,1
12.5,187.5,8,40,20,2.0,0.7,0.2,1
12.5,212.5,9,40,20,2.0,0.7,0.2,1
12.5,237.5,10,40,20,2.0,0.7,0.2,1
12.5,262.5,11,40,20,2.0,0.7,0.2,1
12.5,287.5,12,40,20,2.0,0.7,0.2,1
12.5,312.5,13,40,20,2.0,0.7,0.2,1
12.5,337.5,14,40,20,2.0,0.7,0.2,1
12.5,362.5,15,40,20,2.0,0.7,0.2,1
12.5,387.5,16,40,20,2.0,0.7,0.2,1
37.5,12.5,17,40,20,2.0,0.7,0.2,1
37.5,37.5,18,40,20,2.0,0.7,0.2,1
37.5,62.5,19,40,20,2.0,0.7,0.2,1
37.5,87.5,20,40,20,2.0,0.7,0.2,1
37.5,112.5,21,40,20,2.0,0.7,0.2,1
37.5,137.5,22,40,20,2.0,0.7,0.2,1
37.5,162.5,23,40,20,2.0,0.7,0.2,1
37.5,187.5,24,40,20,2.0,0.7,0.2,1
37.5,212.5,25,40,20,2.0,0.7,0.2,1
37.5,237.5,26,40,20,2.0,0.7,0.2,1
37.5,262.5,27,40,20,2.0,0.7,0.2,1
37.5,287.5,28,40,20,2.0,0.7,0.2,1
37.5,312.5,29,40,20,2.0,0.7,0.2,1
37.5,337.5,30,40,20,2.0,0.7,0.2,1
37.5,362.5,31,40,20,2.0,0.7,0.2,1
37.5,387.5,32,40,20,2.0,0.7,0.2,1
62.5,12.5,33,40,20,2.0,0.7,0.2,1
62.5,37.5,34,40,20,2.0,0.7,0.2,1
62.5,62.5,35,40,20,2.0,0.7,0.2,1
62.5,87.5,36,40,20,2.0,0.7,0.2,1
62.5,112.5,37,40,20,2.0,0.7,0.2,1
62.5,137.5,38,40,20,2.0,0.7,0.2,1
62.5,162.5,39,40,20,2.0,0.7,0.2,1
62.5,187.5,40,40,20,2.0,0.7,0.2,1
62.5,212.5,41,40,20,2.0,0.7,0.2,1
62.5,237.5,42,40,20,2.0,0.7,0.2,1
62.5,262.5,43,40,20,2.0,0.7,0.2,1
62.5,287.5,44,40,20,2.0,0.7,0.2,1
62.5,312.5,45,40,20,2.0,0.7,0.2,1
62.5,337.5,46,40,20,2.0,0.7,0.2,1
62.5,362.5,47,40,20,2.0,0.7,0.2,1
62.5,387.5,48,40,20,2.0,0.7,0.2,1
87.5,12.5,49,40,20,2.0,0.7,0.2,1
87.5,37.5,50,40,20,2.0,0.7,0.2,1
87.5,62.5,51,40,20,2.0,0.7,0.2,1
87.5,87.5,52,40,20,2.0,0.7,0.2,1
87.5,112.5,53,40,20,2.0,0.7,0.2,1
87.5,137.5,54,40,20,2.0,0.7,0.2,1
87.5,162.5,55,40,20,2.0,0.7,0.2,1
87.5,187.5,56,40,20,2.0,0.7,0.2,1
87.5,212.5,57,40,20,2.0,0.7,0.2,1
87.5,237.5,58,40,20,2.0,0.7,0.2,1
87.5,262.5,59,40,20,2.0,0.7,0.2,1
87.5,287.5,60,40,20,2.0,0.7,0.2,1
87.5,312.5,61,40,20,2.0,0.7,0.2,1
87.5,337.5,62,40,20,2.0,0.7,0.2,1
87.5,362.5,63,40,20,2.0,0.7,0.2,1
87.5,387.5,64,40,20,2.0,0.7,0.2,1
112.5,12.5,65,40,20,2.0,0.7,0.2,1
112.5,37.5,66,40,20,2.0,0.7,0.2,1
112.5,62.5,67,40,20,2.0,0.7,0.2,1
112.5,87.5,68,40,20,2.0,0.7,0.2,1
112.5,112.5,69,40,20,2.0,0.7,0.2,1
