mat_id,name,albedo,emissivity,k_therm_W_per_mK,rho_cp_J_per_m3K,thickness_m,description
1,LCZ_1_compact_highrise,0.15,0.92,2.0,2.4e6,0.4,LCZ 1: Compact high-rise (Stewart & Oke 2012)
2,LCZ_2_compact_midrise,0.18,0.91,1.8,2.3e6,0.35,LCZ 2: Compact mid-rise
3,LCZ_3_compact_lowrise,0.20,0.90,1.6,2.2e6,0.30,LCZ 3: Compact low-rise
4,LCZ_4_open_highrise,0.25,0.88,1.5,2.1e6,0.28,LCZ 4: Open high-rise
5,LCZ_5_open_midrise,0.28,0.87,1.4,2.0e6,0.25,LCZ 5: Open mid-rise
6,LCZ_6_open_lowrise,0.32,0.85,1.3,1.9e6,0.22,LCZ 6: Open low-rise
7,LCZ_7_lightweight_lowrise,0.35,0.83,0.8,1.2e6,0.15,LCZ 7: Lightweight low-rise
8,LCZ_8_large_lowrise,0.30,0.86,1.2,1.8e6,0.20,LCZ 8: Large low-rise
9,LCZ_9_sparsely_built,0.38,0.82,1.0,1.5e6,0.18,LCZ 9: Sparsely built
10,LCZ_10_heavy_industrial,0.22,0.89,1.7,2.2e6,0.32,LCZ 10: Heavy industrial
11,concrete_generic,0.20,0.90,1.5,2.0e6,0.3,Generic concrete material
12,asphalt_generic,0.08,0.95,0.7,1.4e6,0.05,Generic asphalt/bitumen material
