time_s,structure_id,x_m,y_m,height_m,footprint_cells,wall_cells,wall_burned_frac,t_first_s,t_last_s,residence_s,peak_intensity_kWm,heat_load_mean_MJm2,heat_load_max_MJm2,embers
24.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
24.875,2,190,80,10,400,84,0,-1,-1,0,0,0,0,0
24.875,3,190,115,10,400,84,0,-1,-1,0,0,0,0,0
49.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
49.875,2,190,80,10,400,84,0.3452380952,39.625,49,9.375,1485.635988,0.8932965766,3.086823048,0
49.875,3,190,115,10,400,84,0.0119047619,49.125,49.125,0,392.6586254,0.01024487117,0.8605691784,0
74.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
74.875,2,190,80,10,400,84,0.6666666667,39.625,74.125,34.5,1532.211714,1.954463565,3.15965222,0
74.875,3,190,115,10,400,84,0.25,49.125,74,24.875,1355.103118,0.692660211,3.159176668,0
99.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
99.875,2,190,80,10,400,84,0.8095238095,39.625,99.5,59.875,1532.211714,2.473864113,3.159660791,0
99.875,3,190,115,10,400,84,0.3928571429,49.125,98,48.875,1557.456056,1.175105991,3.159589533,0
124.875,1,190,30,10,400,76,0.3289473684,107.25,121.5,14.25,1474.299851,0.9764520198,3.10882342,0
124.875,2,190,80,10,400,84,0.880952381,39.625,122.625,83,1532.211714,2.712704639,3.159660793,0
124.875,3,190,115,10,400,84,0.4880952381,49.125,123.375,74.25,1557.456056,1.482658684,3.159589634,0
149.875,1,190,30,10,400,76,0.4210526316,107.25,149,41.75,1591.185771,1.256189739,3.158131828,0
149.875,2,190,80,10,400,84,0.9642857143,39.625,147.875,108.25,1532.211714,2.960363605,3.159660793,0
149.875,3,190,115,10,400,84,0.6071428571,49.125,149.25,100.125,1557.456056,1.806054622,3.159589634,0
174.875,1,190,30,10,400,76,0.4473684211,107.25,156.125,48.875,1591.185771,1.402235678,3.158137555,0
174.875,2,190,80,10,400,84,1,39.625,159.5,119.875,1532.211714,3.133194643,3.159660793,0
174.875,3,190,115,10,400,84,0.7380952381,49.125,174.375,125.25,1557.456056,2.226303287,3.159589634,0
199.875,1,190,30,10,400,76,0.4473684211,107.25,156.125,48.875,1591.185771,1.404174478,3.158137556,0
199.875,2,190,80,10,400,84,1,39.625,159.5,119.875,1532.211714,3.137456082,3.159660793,0
199.875,3,190,115,10,400,84,0.9166666667,49.125,199.375,150.25,1557.456056,2.773183735,3.159589634,0
224.875,1,190,30,10,400,76,0.4473684211,107.25,156.125,48.875,1591.185771,1.404198672,3.158137556,0
224.875,2,190,80,10,400,84,1,39.625,159.5,119.875,1532.211714,3.137530345,3.159660793,0
224.875,3,190,115,10,400,84,1,49.125,222.125,173,1557.456056,3.079845418,3.159589634,0
