time_s,structure_id,x_m,y_m,height_m,footprint_cells,wall_cells,wall_burned_frac,t_first_s,t_last_s,residence_s,peak_intensity_kWm,heat_load_mean_MJm2,heat_load_max_MJm2,embers
24.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
24.875,2,190,80,10,400,84,0,-1,-1,0,0,0,0,0
24.875,3,190,115,10,400,84,0,-1,-1,0,0,0,0,0
49.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
49.875,2,190,80,10,400,84,0.5952380952,28.125,48.875,20.75,3205.804332,1.743565511,3.158545137,0
49.875,3,190,115,10,400,84,0.1666666667,39.125,49.125,10,3098.634513,0.430411108,3.098924088,0
74.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
74.875,2,190,80,10,400,84,0.8333333333,28.125,73.625,45.5,3205.804332,2.58377708,3.159660681,0
74.875,3,190,115,10,400,84,0.3571428571,39.125,74.25,35.125,3115.177966,1.093241835,3.159653918,0
99.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
99.875,2,190,80,10,400,84,0.9047619048,28.125,95.625,67.5,3205.804332,2.84226562,3.159660807,0
99.875,3,190,115,10,400,84,0.4404761905,39.125,98.375,59.25,3115.177966,1.355262765,3.159660807,0
124.875,1,190,30,10,400,76,0.3157894737,110.75,120.5,9.75,2698.293423,0.9548820568,3.141843548,0
124.875,2,190,80,10,400,84,1,28.125,124.625,96.5,3205.804332,3.087967517,3.159660807,0
124.875,3,190,115,10,400,84,0.5119047619,39.125,120.625,81.5,3115.177966,1.602959035,3.159660807,0
149.875,1,190,30,10,400,76,0.4210526316,110.75,149.75,39,2698.775786,1.248572568,3.159658786,0
149.875,2,190,80,10,400,84,1,28.125,124.625,96.5,3205.804332,3.159652675,3.159660807,0
149.875,3,190,115,10,400,84,0.5833333333,39.125,143,103.875,3115.177966,1.837083168,3.159660807,0
174.875,1,190,30,10,400,76,0.4473684211,110.75,164.375,53.625,2698.775786,1.412579248,3.159660807,0
174.875,2,190,80,10,400,84,1,28.125,124.625,96.5,3205.804332,3.159660806,3.159660807,0
174.875,3,190,115,10,400,84,0.6785714286,39.125,173.125,134,3115.177966,2.104291654,3.159660807,0
199.875,1,190,30,10,400,76,0.4473684211,110.75,164.375,53.625,2698.775786,1.413532358,3.159660807,0
199.875,2,190,80,10,400,84,1,28.125,124.625,96.5,3205.804332,3.159660807,3.159660807,0
199.875,3,190,115,10,400,84,0.8452380952,39.125,198.75,159.625,3115.177966,2.609483078,3.159660807,0
224.875,1,190,30,10,400,76,0.4473684211,110.75,164.375,53.625,2698.775786,1.413532466,3.159660807,0
224.875,2,190,80,10,400,84,1,28.125,124.625,96.5,3205.804332,3.159660807,3.159660807,0
224.875,3,190,115,10,400,84,1,39.125,215.875,176.75,3115.177966,3.156066002,3.159660807,0
