time_s,structure_id,x_m,y_m,height_m,footprint_cells,wall_cells,wall_burned_frac,t_first_s,t_last_s,residence_s,peak_intensity_kWm,heat_load_mean_MJm2,heat_load_max_MJm2,embers
24.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
24.875,2,190,80,10,400,84,0.6666666667,2,24.375,22.375,3600.794052,1.229698804,3.158642021,1
24.875,3,190,115,10,400,84,0.03571428571,24.25,24.875,0.625,808.6445793,0.01390976947,0.7537329981,0
49.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
49.875,2,190,80,10,400,84,0.8333333333,2,44.375,42.375,3600.794052,1.873048012,3.159660692,1
49.875,3,190,115,10,400,84,0.3095238095,24.25,46.875,22.625,3240.182229,0.9598842127,3.159387897,0
74.875,1,190,30,10,400,76,0,-1,-1,0,0,0,0,0
74.875,2,190,80,10,400,84,0.9285714286,2,73.75,71.75,3600.794052,2.138384132,3.159660807,3
74.875,3,190,115,10,400,84,0.3928571429,24.25,72.875,48.625,3240.182229,1.217924183,3.159660776,0
99.875,1,190,30,10,400,76,0.3421052632,75.5,93,17.5,2871.784529,1.073397295,3.159230991,0
99.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.396094897,3.159660807,4
99.875,3,190,115,10,400,84,0.4761904762,24.25,98.875,74.625,3240.182229,1.469640182,3.159660807,0
124.875,1,190,30,10,400,76,0.4342105263,75.5,123.75,48.25,2871.784529,1.342755251,3.159660759,0
124.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.409239874,3.159660807,5
124.875,3,190,115,10,400,84,0.5476190476,24.25,121.25,97,3240.182229,1.716360204,3.159660807,0
149.875,1,190,30,10,400,76,0.4473684211,75.5,129.375,53.875,2871.784529,1.413506034,3.159660807,1
149.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.409241365,3.159660807,7
149.875,3,190,115,10,400,84,0.630952381,24.25,148.75,124.5,3240.182229,1.963957818,3.159660807,1
174.875,1,190,30,10,400,76,0.4473684211,75.5,129.375,53.875,2871.784529,1.413532463,3.159660807,1
174.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.409241366,3.159660807,7
174.875,3,190,115,10,400,84,0.7142857143,24.25,173.75,149.5,3240.182229,2.220091426,3.159660807,3
199.875,1,190,30,10,400,76,0.4473684211,75.5,129.375,53.875,2871.784529,1.413532466,3.159660807,1
199.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.409241366,3.159660807,7
199.875,3,190,115,10,400,84,0.8928571429,24.25,198.5,174.25,3240.182229,2.76785253,3.159660807,3
224.875,1,190,30,10,400,76,0.4473684211,75.5,129.375,53.875,2871.784529,1.413532466,3.159660807,1
224.875,2,190,80,10,400,84,1,2,95.25,93.25,3600.794052,2.409241366,3.159660807,8
224.875,3,190,115,10,400,84,1,24.25,209.5,185.25,3240.182229,3.159213428,3.159660807,4
